"subjectid","part","size","set_number","letters_recalled","correct_letters","ANL","PCU","PCL"
"2","recall-pre","4","1","HKNL","HKLN","0","0.5","4"
"2","recall-pre","6","2","TNRQLS","TNPQLS","0","0.833333333333333","2"
"2","recall-pre","4","3","FRQL","FRQL","1","1","4"
"2","recall-pre","5","4","JPK","SYJPK","0","0.6","3"
"2","recall-pre","6","5","TKSL","KLYSQH","0","0","3"
"2","recall-pre","5","6","HJRKS","HJRKS","1","1","5"
"2","recall-post","6","1","HPYQSR","HPYQSR","1","1","6"
"2","recall-post","5","2","YSRP","RJYSK","0","0","3"
"2","recall-post","4","3","THJF","THJF","1","1","4"
"2","recall-post","6","4","TQLTF","YSQFTL","0","0","4"
"2","recall-post","4","5","TNFL","TNFR","0","0.75","3"
"2","recall-post","5","6","TPFL","LPRFH","0","0.2","3"
"6","recall-pre","5","1","TYJKN","TYJKN","1","1","5"
"6","recall-pre","6","2","RJPNTF","RJPSTF","0","0.833333333333333","5"
"6","recall-pre","4","3","RJTR","HJTR","0","0.75","3"
"6","recall-pre","4","4","TFQH","TFQH","1","1","4"
"6","recall-pre","5","5","PRYH","NHKYT","0","0","2"
"6","recall-pre","6","6","NJPHJRY","NPHJRY","0","0.833333333333333","6"
"6","recall-post","6","1","TKSPF","TKSPFH","0","0.833333333333333","5"
"6","recall-post","6","2","PFK","HRSPFK","0","0.5","3"
"6","recall-post","5","3","NFRJL","NFRJL","1","1","5"
"6","recall-post","4","4","LTFP","LTFP","1","1","4"
"6","recall-post","5","5","RYTQK","RYTQK","1","1","5"
"6","recall-post","4","6","HFTP","HFTQ","0","0.75","3"
"4","recall-pre","4","1","TPRQ","TPRQ","1","1","4"
"4","recall-pre","6","2","TYTPS","RYTSKH","0","0.333333333333333","3"
"4","recall-pre","6","3","YJPNKR","YJPNKR","1","1","6"
"4","recall-pre","5","4","JQNHK","JQNHK","1","1","5"
"4","recall-pre","5","5","KJQYT","KJQYT","1","1","5"
"4","recall-pre","4","6","YKLQ","YPLQ","0","0.75","3"
"4","recall-post","5","1","NSTLK","NSTLK","1","1","5"
"4","recall-post","4","2","FHNL","FHLN","0","0.5","4"
"4","recall-post","6","3","SPQYJ","SPQYRJ","0","0.666666666666667","5"
"4","recall-post","5","4","QSJNT","QSJNT","1","1","5"
"4","recall-post","4","5","JNRP","JNRP","1","1","4"
"4","recall-post","6","6","TLJSKN","TLJSKN","1","1","6"
"8","recall-pre","4","1","LHKS","LHKS","1","1","4"
"8","recall-pre","4","2","LJNF","JRKF","0","0.5","2"
"8","recall-pre","5","3","PQ_NJ","PQNRJ","0","0.6","4"
"8","recall-pre","5","4","QTFHY","QTFHY","1","1","5"
"8","recall-pre","6","5","_LNQJ","NSPLTJ","0","0","3"
"8","recall-pre","6","6","NRTLJY","NRTLJY","1","1","6"
"8","recall-post","6","1","LYSNT","LYSNTK","0","0.833333333333333","5"
"8","recall-post","5","2","LYPRH","LPFRH","0","0.6","4"
"8","recall-post","4","3","RJLF","RJLF","1","1","4"
"8","recall-post","6","4","P_HLRJ","PSHRYJ","0","0.5","4"
"8","recall-post","5","5","RJYHN","RJYHN","1","1","5"
"8","recall-post","4","6","LJKR","LJKR","1","1","4"
"10","recall-pre","6","1","PHJYSR","PHJYSR","1","1","6"
"10","recall-pre","5","2","KLYR","KLYHS","0","0.6","3"
"10","recall-pre","5","3","TY_KP","TYJKP","0","0.8","4"
"10","recall-pre","4","4","QP_L","QFHL","0","0.5","2"
"10","recall-pre","6","5","SNTQKF","SNTQKF","1","1","6"
"10","recall-pre","4","6","LYST","LYST","1","1","4"
"10","recall-post","6","1","QHTPR_","QHTRPN","0","0.5","5"
"10","recall-post","5","2","TNLKF","TNLKF","1","1","5"
"10","recall-post","5","3","KLQF_","KFLSR","0","0.2","3"
"10","recall-post","6","4","_____R","NSYHLR","0","0.166666666666667","1"
"10","recall-post","4","5","STHN","STHN","1","1","4"
"10","recall-post","4","6","KLPY","KPNY","0","0.5","3"
"20","recall-pre","5","1","LNHSY","LNHSY","1","0.5","5"
"20","recall-pre","4","2","QFYT","QFYT","1","1","4"
"20","recall-pre","6","3","FKLQTP","FKLQTP","1","1","6"
"20","recall-pre","5","4","FRTQJ","FRTQJ","1","1","5"
"20","recall-pre","6","5","LTHYNR","LTHYNR","1","1","6"
"20","recall-pre","4","6","HLPR","HLPR","1","1","4"
"20","recall-post","5","1","KSHQN","KSHQN","1","1","5"
"20","recall-post","4","2","NRPJ","NRPJ","1","1","4"
"20","recall-post","6","3","JHSKNY","JHSKNY","1","1","6"
"20","recall-post","5","4","TPYKH","TPYKH","1","1","5"
"20","recall-post","6","5","SHJFYL","SHJFYR","0","0.833333333333333","5"
"20","recall-post","4","6","TNKH","TNKH","1","1","4"
"18","recall-pre","5","1","QRLPK","QRYHK","0","0.6","3"
"18","recall-pre","4","2","F__R","PFYK","0","0","1"
"18","recall-pre","4","3","RYFL","RYLF","0","0.5","4"
"18","recall-pre","6","4","___H","FSJLYH","0","0","1"
"18","recall-pre","5","5","FRSKS","SRFQN","0","0.2","3"
"18","recall-pre","6","6","QKL","HQFSKL","0","0","3"
"18","recall-post","4","1","H_SF","HSFY","0","0.25","3"
"18","recall-post","5","2","HJFSF","HJLQF","0","0.6","3"
"18","recall-post","4","3","QYPJ","QYPT","0","0.75","3"
"18","recall-post","5","4","LKSK","LKSQP","0","0.6","3"
"18","recall-post","6","5","JFN","YPJTRN","0","0","1"
"18","recall-post","6","6","QFNLK","QFNLKR","0","0.833333333333333","5"
"12","recall-pre","5","1","TFHN","TFHNR","0","0.8","4"
"12","recall-pre","6","2","QNS","QPNRSK","0","0.166666666666667","3"
"12","recall-pre","5","3","NPKT","NPJKT","0","0.4","4"
"12","recall-pre","4","4","RPSJ","RPSJ","1","1","4"
"12","recall-pre","4","5","YNS","QYNS","0","0.75","3"
"12","recall-pre","6","6","PYRTJ","PYRTJN","0","0.833333333333333","5"
"12","recall-post","4","1","KNPY","KNPY","1","1","4"
"12","recall-post","5","2","TNS","NTSJL","0","0","3"
"12","recall-post","6","3","NHQTS","LHQPFR","0","0.333333333333333","2"
"12","recall-post","6","4","QKY","QKYSPH","0","0.5","3"
"12","recall-post","5","5","KYRFN","KYRFN","1","1","5"
"12","recall-post","4","6","FTRS","FSRN","0","0.333333333333333","3"
"24","recall-pre","6","1","YFLSNH","YFLSNH","1","1","6"
"24","recall-pre","6","2","TQPJY","TQPNJY","0","0.5","5"
"24","recall-pre","5","3","QSLNH","QSLNH","1","1","5"
"24","recall-pre","4","4","NPJS","NPJS","1","1","4"
"24","recall-pre","4","5","QPJN","QPJN","1","1","4"
"24","recall-pre","5","6","PYKF","PYHKF","0","0.4","4"
"24","recall-post","4","1","HPNY","HPNY","1","1","4"
"24","recall-post","4","2","HQNY","HTNY","0","0.75","3"
"24","recall-post","6","3","JHRPQ","JSHRPQ","0","0.833333333333333","5"
"24","recall-post","6","4","PRHFKQ","PRHFKQ","1","1","6"
"24","recall-post","5","5","QTLNK","QTJNK","0","0.8","4"
"24","recall-post","5","6","RQFK","RQFJK","0","0.6","4"
"28","recall-pre","6","1","JFSLH_","JFSHQP","0","0.5","4"
"28","recall-pre","5","2","SKYLJ","SKYLJ","1","1","5"
"28","recall-pre","6","3","KHFPLS","KHPFSL","0","0.333333333333333","6"
"28","recall-pre","4","4","RLSK","RSLK","0","0.5","4"
"28","recall-pre","5","5","JL__Y","JNQSY","0","0.4","2"
"28","recall-pre","4","6","JYHS","JYHS","1","1","4"
"28","recall-post","6","1","PLHQFJ","PLHQFJ","1","1","6"
"28","recall-post","4","2","FTFL","NTFL","0","0.75","3"
"28","recall-post","6","3","FQPRY","NQPRYL","0","0.666666666666667","4"
"28","recall-post","5","4","QKL_H","QKNHL","0","0.4","4"
"28","recall-post","5","5","HJKQK","HJQFK","0","0.6","4"
"28","recall-post","4","6","TRYS","TRYS","1","1","4"
"22","recall-pre","4","1","LTJT","STJL","0","0.25","3"
"22","recall-pre","6","2","____J","NHLTPJ","0","0","1"
"22","recall-pre","5","3","JRLYH","JRLYH","1","1","5"
"22","recall-pre","6","4","LHYRJT","LHYRJT","1","1","6"
"22","recall-pre","4","5","LRNS","LRNS","1","1","4"
"22","recall-pre","5","6","SQPTL","SQPTL","1","1","5"
"22","recall-post","5","1","JRYPK","JRYPK","1","1","5"
"22","recall-post","4","2","JP_R","JPYR","0","0.75","3"
"22","recall-post","6","3","NKJSPT","NKJSPT","1","1","6"
"22","recall-post","4","4","NTHL","NTHL","1","1","4"
"22","recall-post","6","5","NYKRQT","NYKRQT","1","1","6"
"22","recall-post","5","6","RJNYK","RJNYK","1","1","5"
"26","recall-pre","6","1","JYPHS","JYPHSL","0","0.833333333333333","5"
"26","recall-pre","4","2","SNLT","SNLT","1","1","4"
"26","recall-pre","5","3","TQSJN","TQSJN","1","1","5"
"26","recall-pre","4","4","PNYH","PNYH","1","1","4"
"26","recall-pre","6","5","RHSFTQ","RHSFTQ","1","1","6"
"26","recall-pre","5","6","YLJFK","YLJFK","1","1","5"
"26","recall-post","4","1","NKYF","NKYF","1","1","4"
"26","recall-post","5","2","JSYLT","JSYLT","1","1","5"
"26","recall-post","5","3","PJNSY","PJNSY","1","1","5"
"26","recall-post","6","4","LYJTNR","LYJTNR","1","1","6"
"26","recall-post","6","5","JNYKQH","JNYKQH","1","1","6"
"26","recall-post","4","6","SYFN","SYFN","1","1","4"
